hint,solution
An Orwellian Future,ABOOTSTAMPINGONAHUMANFACE
Animal Farm's Mantra,FOURLEGSGOODTWOLEGSBAAAAD
Leaves of Grass,WALTWHITMANANAMERICANPOET
Monte Cristo's Knowledge,THESETWOWORDS:WAITANDHOPE
Moby Dick,CAPTAINAHABVTHEWHITEWHALE
Milton's Rubente Dextera,HISREDRIGHTHANDTOPLAGUEUS
New York Parks Commissioner,ROBERTMOSESTHEPOWERBROKER
The Christmas Carol,MARLEYWASDEAD:TOBEGINWITH
Joseph Heller,ONECATCHANDTHATWASCATCH22
Alexander Hamilton,AMILLIONTHINGSIHAVENTDONE
Friendship,THOUGHTTHATNOONEBUTMYSELF
Emerson's Foolish Consistency,THEHOBGOBLINOFLITTLEMINDS